CABra ID  	 697
ANA ID    	 60477400
Longitude 	 -47.879   	 dd
Latitude  	 -15.713   	 dd
Area      	 233.39    	 km²
Elevation 	 1166.24   	 m
Quality   	 0 = missing	 1 = raw   	 2 = consistent
 
 Year	 Month	   Day	 Streamflow	    Quality
     	      	      	    (m³s¯¹)	           
 1981	    11	    21	      5.294	          1
 1981	    11	    22	      5.056	          1
 1981	    11	    23	     14.022	          1
 1981	    11	    24	      4.938	          1
 1981	    11	    25	      5.718	          1
 1981	    11	    26	      5.474	          1
 1981	    11	    27	      4.588	          1
 1981	    11	    28	      9.452	          1
 1981	    11	    29	      3.526	          1
 1981	    11	    30	      3.418	          1
 1981	    12	     1	      6.589	          1
 1981	    12	     2	      4.415	          1
 1981	    12	     3	      4.530	          1
 1981	    12	     4	      6.463	          1
 1981	    12	     5	      5.174	          1
 1981	    12	     6	      4.188	          1
 1981	    12	     7	      4.472	          1
 1981	    12	     8	      4.996	          1
 1981	    12	     9	      5.234	          1
 1981	    12	    10	      4.358	          1
 1981	    12	    11	      3.688	          1
 1981	    12	    12	      3.580	          1
 1981	    12	    13	      3.258	          1
 1981	    12	    14	      4.245	          1
 1981	    12	    15	      5.234	          1
 1981	    12	    16	      5.056	          1
 1981	    12	    17	      9.452	          1
 1981	    12	    18	      9.106	          1
 1981	    12	    19	      7.689	          1
 1981	    12	    20	      5.115	          1
 1981	    12	    21	      3.908	          1
 1981	    12	    22	      5.056	          1
 1981	    12	    23	      5.115	          1
 1981	    12	    24	      4.301	          1
 1981	    12	    25	      4.245	          1
 1981	    12	    26	      3.526	          1
 1981	    12	    27	      3.853	          1
 1981	    12	    28	      4.703	          1
 1981	    12	    29	      6.463	          1
 1981	    12	    30	      5.535	          1
 1981	    12	    31	      5.294	          1
 1982	     1	     1	      8.424	          1
 1982	     1	     2	     10.225	          1
 1982	     1	     3	      6.274	          1
 1982	     1	     4	      6.780	          1
 1982	     1	     5	      5.535	          1
 1982	     1	     6	      5.294	          1
 1982	     1	     7	      4.820	          1
 1982	     1	     8	      6.087	          1
 1982	     1	     9	      9.452	          1
 1982	     1	    10	      9.383	          1
 1982	     1	    11	     15.988	          1
 1982	     1	    12	      9.037	          1
 1982	     1	    13	     11.891	          1
 1982	     1	    14	      9.452	          1
 1982	     1	    15	     10.296	          1
 1982	     1	    16	      5.115	          1
 1982	     1	    17	      5.234	          1
 1982	     1	    18	      5.535	          1
 1982	     1	    19	      6.400	          1
 1982	     1	    20	     15.264	          1
 1982	     1	    21	     19.486	          1
 1982	     1	    22	     18.645	          1
 1982	     1	    23	     13.496	          1
 1982	     1	    24	     12.124	          1
 1982	     1	    25	     12.635	          1
 1982	     1	    26	      9.661	          1
 1982	     1	    27	     10.296	          1
 1982	     1	    28	     12.635	          1
 1982	     1	    29	      9.942	          1
 1982	     1	    30	      9.942	          1
 1982	     1	    31	      8.356	          1
 1982	     2	     1	      8.222	          1
 1982	     2	     2	      9.522	          1
 1982	     2	     3	      8.088	          1
 1982	     2	     4	      7.166	          1
 1982	     2	     5	      6.526	          1
 1982	     2	     6	      7.037	          1
 1982	     2	     7	      9.452	          1
 1982	     2	     8	      8.559	          1
 1982	     2	     9	      7.558	          1
 1982	     2	    10	      5.656	          1
 1982	     2	    11	      5.840	          1
 1982	     2	    12	      5.596	          1
 1982	     2	    13	      5.535	          1
 1982	     2	    14	      5.234	          1
 1982	     2	    15	      4.996	          1
 1982	     2	    16	      4.762	          1
 1982	     2	    17	      4.703	          1
 1982	     2	    18	      4.820	          1
 1982	     2	    19	      3.964	          1
 1982	     2	    20	      4.703	          1
 1982	     2	    21	      4.301	          1
 1982	     2	    22	      4.188	          1
 1982	     2	    23	      5.234	          1
 1982	     2	    24	      5.596	          1
 1982	     2	    25	      5.174	          1
 1982	     2	    26	      5.115	          1
 1982	     2	    27	      4.703	          1
 1982	     2	    28	      5.115	          1
 1982	     3	     1	      4.245	          1
 1982	     3	     2	      3.853	          1
 1982	     3	     3	      7.361	          1
 1982	     3	     4	      6.274	          1
 1982	     3	     5	      9.942	          1
 1982	     3	     6	     11.086	          1
 1982	     3	     7	     14.981	          1
 1982	     3	     8	     13.889	          1
 1982	     3	     9	     11.014	          1
 1982	     3	    10	     10.013	          1
 1982	     3	    11	      9.244	          1
 1982	     3	    12	      8.968	          1
 1982	     3	    13	      7.558	          1
 1982	     3	    14	      6.780	          1
 1982	     3	    15	      6.908	          1
 1982	     3	    16	      5.354	          1
 1982	     3	    17	      5.234	          1
 1982	     3	    18	      5.535	          1
 1982	     3	    19	      8.627	          1
 1982	     3	    20	     11.523	          1
 1982	     3	    21	      7.296	          1
 1982	     3	    22	      8.021	          1
 1982	     3	    23	      8.831	          1
 1982	     3	    24	     11.597	          1
 1982	     3	    25	     27.060	          1
 1982	     3	    26	     16.738	          1
 1982	     3	    27	      8.491	          1
 1982	     3	    28	      7.689	          1
 1982	     3	    29	      8.763	          1
 1982	     3	    30	      9.175	          1
 1982	     3	    31	      8.968	          1
 1982	     4	     1	      8.356	          1
 1982	     4	     2	      5.902	          1
 1982	     4	     3	      3.311	          1
 1982	     4	     4	      6.908	          1
 1982	     4	     5	      6.972	          1
 1982	     4	     6	      6.087	          1
 1982	     4	     7	      4.530	          1
 1982	     4	     8	      5.902	          1
 1982	     4	     9	      5.718	          1
 1982	     4	    10	      9.872	          1
 1982	     4	    11	      9.313	          1
 1982	     4	    12	      6.212	          1
 1982	     4	    13	      6.908	          1
 1982	     4	    14	     19.315	          1
 1982	     4	    15	     18.153	          1
 1982	     4	    16	     14.292	          1
 1982	     4	    17	      9.802	          1
 1982	     4	    18	     11.597	          1
 1982	     4	    19	     10.154	          1
 1982	     4	    20	      7.231	          1
 1982	     4	    21	      7.037	          1
 1982	     4	    22	      7.361	          1
 1982	     4	    23	      6.780	          1
 1982	     4	    24	      6.463	          1
 1982	     4	    25	      5.718	          1
 1982	     4	    26	      5.294	          1
 1982	     4	    27	      5.414	          1
 1982	     4	    28	      5.414	          1
 1982	     4	    29	      5.174	          1
 1982	     4	    30	      5.174	          1
 1982	     5	     1	      4.762	          1
 1982	     5	     2	      4.762	          1
 1982	     5	     3	      4.703	          1
 1982	     5	     4	      4.820	          1
 1982	     5	     5	      4.415	          1
 1982	     5	     6	      4.132	          1
 1982	     5	     7	      3.153	          1
 1982	     5	     8	      3.472	          1
 1982	     5	     9	      2.997	          1
 1982	     5	    10	      2.843	          1
 1982	     5	    11	      3.798	          1
 1982	     5	    12	      3.258	          1
 1982	     5	    13	      3.472	          1
 1982	     5	    14	      3.964	          1
 1982	     5	    15	      3.365	          1
 1982	     5	    16	      3.258	          1
 1982	     5	    17	      3.049	          1
 1982	     5	    18	      2.997	          1
 1982	     5	    19	      4.588	          1
 1982	     5	    20	      4.530	          1
 1982	     5	    21	      4.530	          1
 1982	     5	    22	      4.703	          1
 1982	     5	    23	      4.588	          1
 1982	     5	    24	      4.132	          1
 1982	     5	    25	      8.695	          1
 1982	     5	    26	      6.526	          1
 1982	     5	    27	      4.530	          1
 1982	     5	    28	      4.762	          1
 1982	     5	    29	      4.530	          1
 1982	     5	    30	      4.301	          1
 1982	     5	    31	      4.472	          1
 1982	     6	     1	      4.076	          1
 1982	     6	     2	      3.964	          1
 1982	     6	     3	      3.853	          1
 1982	     6	     4	      3.688	          1
 1982	     6	     5	      3.634	          1
 1982	     6	     6	      3.526	          1
 1982	     6	     7	      3.101	          1
 1982	     6	     8	      2.640	          1
 1982	     6	     9	      2.894	          1
 1982	     6	    10	      3.153	          1
 1982	     6	    11	      2.997	          1
 1982	     6	    12	      3.049	          1
 1982	     6	    13	      2.691	          1
 1982	     6	    14	      2.442	          1
 1982	     6	    15	      2.442	          1
 1982	     6	    16	      2.442	          1
 1982	     6	    17	      2.442	          1
 1982	     6	    18	      2.442	          1
 1982	     6	    19	      2.541	          1
 1982	     6	    20	      2.541	          1
 1982	     6	    21	      2.442	          1
 1982	     6	    22	      2.393	          1
 1982	     6	    23	      2.541	          1
 1982	     6	    24	      2.393	          1
 1982	     6	    25	      2.344	          1
 1982	     6	    26	      1.488	          1
 1982	     6	    27	      1.639	          1
 1982	     6	    28	      2.344	          1
 1982	     6	    29	      1.862	          1
 1982	     6	    30	      1.765	          1
 1982	     7	     1	      1.156	          1
 1982	     7	     2	      2.057	          1
 1982	     7	     3	      1.961	          1
 1982	     7	     4	      1.701	          1
 1982	     7	     5	      1.701	          1
 1982	     7	     6	      1.670	          1
 1982	     7	     7	      1.518	          1
 1982	     7	     8	      1.488	          1
 1982	     7	     9	      1.459	          1
 1982	     7	    10	      1.518	          1
 1982	     7	    11	      1.518	          1
 1982	     7	    12	      1.733	          1
 1982	     7	    13	      1.639	          1
 1982	     7	    14	      1.430	          1
 1982	     7	    15	      1.459	          1
 1982	     7	    16	      1.459	          1
 1982	     7	    17	      1.518	          1
 1982	     7	    18	      1.701	          1
 1982	     7	    19	      1.402	          1
 1982	     7	    20	      1.548	          1
 1982	     7	    21	      1.608	          1
 1982	     7	    22	      1.548	          1
 1982	     7	    23	      1.518	          1
 1982	     7	    24	      1.518	          1
 1982	     7	    25	      1.373	          1
 1982	     7	    26	      1.345	          1
 1982	     7	    27	      1.373	          1
 1982	     7	    28	      1.345	          1
 1982	     7	    29	      1.209	          1
 1982	     7	    30	      0.843	          1
 1982	     7	    31	      1.518	          1
 1982	     8	     1	      1.862	          1
 1982	     8	     2	      1.608	          1
 1982	     8	     3	      1.317	          1
 1982	     8	     4	      1.345	          1
 1982	     8	     5	      0.821	          1
 1982	     8	     6	      0.843	          1
 1982	     8	     7	      0.843	          1
 1982	     8	     8	      1.765	          1
 1982	     8	     9	      1.518	          1
 1982	     8	    10	      1.209	          1
 1982	     8	    11	      1.156	          1
 1982	     8	    12	      0.888	          1
 1982	     8	    13	      0.934	          1
 1982	     8	    14	      0.911	          1
 1982	     8	    15	      0.957	          1
 1982	     8	    16	      0.934	          1
 1982	     8	    17	      1.130	          1
 1982	     8	    18	      1.209	          1
 1982	     8	    19	      0.777	          1
 1982	     8	    20	      0.777	          1
 1982	     8	    21	      0.777	          1
 1982	     8	    22	      0.934	          1
 1982	     8	    23	      1.670	          1
 1982	     8	    24	      1.733	          1
 1982	     8	    25	      1.488	          1
 1982	     8	    26	      0.799	          1
 1982	     8	    27	      0.821	          1
 1982	     8	    28	      1.235	          1
 1982	     8	    29	      1.182	          1
 1982	     8	    30	      0.777	          1
 1982	     8	    31	      0.735	          1
 1982	     9	     1	      0.735	          1
 1982	     9	     2	      0.821	          1
 1982	     9	     3	      1.578	          1
 1982	     9	     4	      0.777	          1
 1982	     9	     5	      1.030	          1
 1982	     9	     6	      1.345	          1
 1982	     9	     7	      1.235	          1
 1982	     9	     8	      1.182	          1
 1982	     9	     9	      1.030	          1
 1982	     9	    10	      0.911	          1
 1982	     9	    11	      0.934	          1
 1982	     9	    12	      1.055	          1
 1982	     9	    13	      1.055	          1
 1982	     9	    14	      0.735	          1
 1982	     9	    15	      0.888	          1
 1982	     9	    16	      1.005	          1
 1982	     9	    17	      1.079	          1
 1982	     9	    18	      0.714	          1
 1982	     9	    19	      0.578	          1
 1982	     9	    20	      0.523	          1
 1982	     9	    21	      0.506	          1
 1982	     9	    22	      0.506	          1
 1982	     9	    23	      0.981	          1
 1982	     9	    24	      1.402	          1
 1982	     9	    25	      1.608	          1
 1982	     9	    26	      1.402	          1
